<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;250822;000000;310.14;312.49;309.75;312.05;15490678
SBER;D;250823;000000;312.11;312.5;311.55;312.3;567839
SBER;D;250824;000000;312.3;312.45;311.5;311.84;730827
SBER;D;250825;000000;311.84;312.3;308.75;311.42;15297434
SBER;D;250826;000000;311.3;314;310.5;311.79;11282272
SBER;D;250827;000000;311.99;313.78;311.06;312.78;11687151
SBER;D;250828;000000;313.03;314.5;310.12;310.82;20307465
SBER;D;250829;000000;311.19;311.82;308.95;310.04;14851826
SBER;D;250830;000000;309.99;310.54;309.71;309.92;780762
SBER;D;250831;000000;309.92;311.24;309.92;310.99;1093718
SBER;D;250901;000000;310.86;312.5;308.82;309.2;11035733
SBER;D;250902;000000;309.19;310.1;307.05;308.44;17403266
SBER;D;250903;000000;308.47;309.68;307.21;309.49;10479152
SBER;D;250904;000000;309.62;310.8;307.5;308.74;12845736
SBER;D;250905;000000;309.1;311.16;308.8;310.5;11645345
SBER;D;250906;000000;310.5;310.9;310.1;310.13;654610
SBER;D;250907;000000;310.13;311;310.13;310.69;734383
SBER;D;250908;000000;310.44;313.26;310.31;312.83;16946837
SBER;D;250909;000000;313;314.25;311.62;313.06;17113048
SBER;D;250910;000000;313.63;313.63;309;309.76;19280818
SBER;D;250911;000000;309.81;310.77;305.8;307.11;29434965
SBER;D;250912;000000;307.5;308.72;302.53;303.5;39312689
SBER;D;250913;000000;303.61;303.8;302.65;302.84;1279027
SBER;D;250914;000000;303.18;304.25;302.72;303.97;1566130
SBER;D;250915;000000;304.02;304.75;300.71;302.48;21938052
SBER;D;250916;000000;303.03;304.2;299.7;301.8;26097766
SBER;D;250917;000000;301.8;305.92;299.8;304.5;31415033
SBER;D;250918;000000;304.7;305.05;300.66;301.68;27534217
SBER;D;250919;000000;301.6;303.8;294.61;294.84;38916779
SBER;D;250922;000000;295.76;299.3;292.16;298.05;41168282
SBER;D;250923;000000;298.4;300.11;290.39;291.6;33984637
SBER;D;250924;000000;291.8;296.64;288.4;293.31;47754214
SBER;D;250925;000000;293.87;294.89;289.5;289.9;20997166
SBER;D;250926;000000;290.2;292.79;288.52;291.33;22636605
SBER;D;250927;000000;291.03;292;291.03;291.69;723038
SBER;D;250928;000000;291.69;291.85;290.95;291.08;596818
SBER;D;250929;000000;291.44;295.5;286.5;287.57;34949467
SBER;D;250930;000000;287.7;289.88;285.24;288.36;29380150
SBER;D;251001;000000;288.82;290.39;285.11;286.4;22893088
SBER;D;251002;000000;286.4;287.15;282.8;285.22;28015457
SBER;D;251003;000000;285.7;287.32;282.58;282.91;17097324
SBER;D;251004;000000;283;283;279.39;280.4;5632692
SBER;D;251005;000000;280.4;282.13;279.14;281.99;2450371
SBER;D;251006;000000;282.4;291.17;281.82;290.56;36475432
SBER;D;251007;000000;290;295.87;288.75;293.89;37883967
SBER;D;251008;000000;293.95;295;278;281.9;75217775
SBER;D;251009;000000;282.7;290.45;278.75;289.37;76138824
SBER;D;251010;000000;289.8;289.95;284.1;285.12;34166646
SBER;D;251011;000000;284.4;285.31;282.22;285.16;2386239
SBER;D;251012;000000;285.12;286.85;285;286.81;1662362
SBER;D;251013;000000;286.9;288.75;282.35;285.39;33198626
SBER;D;251014;000000;285.5;286.99;282.05;283.3;22302785
SBER;D;251015;000000;283.93;285.39;282;283.74;22411193
